game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures
0,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,8,19,15,5,6
1,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,-4,19,16,5,3
2,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,2,19,15,6,5
3,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-7,17,19,15,4,5
4,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-4,7,19,15,5,4
5,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,17,0,19,16,5,1
6,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,5,19,15,3,6
7,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,0,18,15,6,3
8,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,2,-1,18,15,5,4
9,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,0,5,18,14,7,3
10,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,0,21,18,4,0
11,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,11,0,18,15,3,4
12,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,20,0,20,17,5,4
13,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,15,19,15,4,6
14,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-1,1,19,15,6,6
15,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-2,4,18,14,5,3
16,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,14,-2,18,15,6,4
17,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,0,life,8,-2,19,16,4,4
18,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-10,3,19,15,5,7
19,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,1,life,-8,8,19,15,4,5
