game_id,agent0,agent1,deck0_name,deck1_name,winner,end_reason,p0_life,p1_life,p0_library_size,p1_library_size,p0_battlefield_creatures,p1_battlefield_creatures,p0_land_plays,p0_creature_casts,p0_approx_mana_spent,p0_main_phase_actions,p0_main_phase_passes,p1_land_plays,p1_creature_casts,p1_approx_mana_spent,p1_main_phase_actions,p1_main_phase_passes
0,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,12,-2,31,30,5,6,6,6,19,27,15,5,9,36,27,13
1,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,14,-14,31,30,6,3,6,8,20,25,11,4,4,7,20,12
2,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,0,31,30,6,5,6,7,22,27,14,5,8,36,25,12
3,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,8,30,28,7,7,6,9,30,28,13,7,12,46,28,9
4,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-1,31,30,5,7,6,8,25,27,13,5,11,40,26,10
5,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-4,2,30,28,5,8,7,7,20,31,17,6,10,32,30,14
6,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-1,32,31,6,2,4,10,25,25,11,4,2,5,16,10
7,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,2,31,29,5,5,6,7,20,28,15,6,7,28,27,14
8,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,10,-4,28,27,6,7,9,6,21,36,21,8,10,39,35,17
9,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-6,8,30,28,5,8,7,6,19,31,18,6,12,52,28,10
10,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,-5,2,29,27,5,7,8,7,21,34,19,8,11,50,35,16
11,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,1,life,0,2,29,27,6,5,8,8,29,33,17,8,7,31,33,18
12,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-3,29,28,6,5,8,8,35,33,17,7,8,36,31,16
13,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-4,32,31,6,2,5,9,24,24,10,4,2,5,16,10
14,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-4,31,30,5,6,6,8,28,27,13,5,10,38,27,12
15,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,0,32,31,5,1,5,6,18,24,13,4,1,4,14,9
16,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,16,-11,32,31,6,2,3,9,22,24,12,4,3,3,16,9
17,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,18,-1,31,30,5,5,6,7,26,27,14,5,8,36,25,12
18,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-4,32,31,4,1,5,7,21,22,10,4,1,4,14,9
19,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,0,life,20,-11,30,29,5,3,7,7,29,30,16,6,5,25,24,13
