__source_file,agent0,agent1,deck0_name,deck1_name,end_reason,game_id,p0_approx_mana_spent,p0_battlefield_creatures,p0_creature_casts,p0_land_plays,p0_library_size,p0_life,p0_main_phase_actions,p0_main_phase_passes,p1_approx_mana_spent,p1_battlefield_creatures,p1_creature_casts,p1_land_plays,p1_library_size,p1_life,p1_main_phase_actions,p1_main_phase_passes,winner
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,0,24.0,6,9.0,5.0,32,16,24.0,10.0,5.0,2,2.0,4.0,31,-2,16.0,10.0,0
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,1,34.0,6,9.0,6.0,31,18,27.0,12.0,2.0,2,2.0,3.0,30,-12,17.0,12.0,0
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,2,32.0,7,9.0,7.0,29,4,29.0,13.0,49.0,6,10.0,7.0,28,0,33.0,16.0,0
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,3,19.0,5,6.0,6.0,31,20,27.0,15.0,2.0,2,2.0,3.0,30,-10,17.0,12.0,0
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,4,29.0,6,10.0,4.0,31,-9,28.0,14.0,45.0,6,10.0,6.0,29,16,29.0,13.0,1
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,5,20.0,5,7.0,4.0,32,20,23.0,12.0,12.0,2,3.0,4.0,31,-7,16.0,9.0,0
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,6,35.0,7,10.0,7.0,29,-3,29.0,12.0,36.0,7,10.0,8.0,27,6,33.0,15.0,1
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,7,18.0,5,7.0,5.0,32,18,24.0,12.0,1.0,1,1.0,4.0,31,-2,14.0,9.0,0
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,8,17.0,6,6.0,7.0,30,15,30.0,17.0,26.0,4,6.0,6.0,29,-6,26.0,14.0,0
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,9,26.0,5,7.0,6.0,31,-2,28.0,15.0,28.0,5,7.0,6.0,29,2,27.0,14.0,1
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,10,23.0,5,8.0,4.0,31,-3,26.0,14.0,49.0,7,11.0,6.0,29,8,29.0,12.0,1
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,11,11.0,3,3.0,6.0,31,-5,24.0,15.0,37.0,7,10.0,6.0,29,14,27.0,11.0,1
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,12,26.0,6,9.0,5.0,32,20,24.0,10.0,1.0,1,1.0,4.0,31,0,14.0,9.0,0
20251127_191446_random_vs_heuristic.csv,HeuristicAgent15,HeuristicAgent15,mono_green_midrange,mono_white_control,life,13,25.0,6,10.0,3.0,33,16,19.0,6.0,3.0,2,3.0,3.0,32,-1,13.0,7.0,0
